Use,UseNonUse,Slope,CoverDist,Roads,AllTrails
0,0,43.18820572,0,150,180
0,0,20.4393177,0,752,376
0,0,0,0,926,67
0,0,23.13218307,5,30,30
0,0,0,0,391,60
0,0,0,5,540,175
0,0,1.350224495,0,210,175
0,0,37.00513458,0,190,175
0,0,5.1287117,18,335,108
0,0,26.53956604,0,979,658
0,0,0,0,437,182
0,0,7.825525761,0,0,532
0,0,0,5,437,361
0,0,41.10199356,0,1022,330
0,0,38.68405151,0,926,418
0,0,0,0,624,134
0,0,7.825525761,0,725,162
0,0,27.61309814,0,787,604
0,0,31.43483162,0,648,376
0,0,11.03853226,0,541,124
0,0,15.42324543,0,981,42
0,0,0,0,666,0
0,0,0,0,685,30
0,0,23.3822422,0,342,589
0,0,0,0,134,42
0,0,0,0,170,0
0,0,0,0,741,335
0,0,0,10,685,552
0,0,0,39,323,283
0,0,14.59255028,0,0,0
0,0,0,0,108,95
0,0,2.134299994,21,124,162
0,0,12.77257824,0,162,543
0,0,38.54413986,5,1045,899
0,0,38.09794617,0,957,361
0,0,0,21,313,300
0,0,0,39,558,124
0,0,33.59059906,0,531,509
0,0,0,0,361,330
0,0,0,11,216,295
0,0,0,30,85,90
0,0,0,5,750,90
0,0,32.35640717,5,430,90
0,0,15.28851795,0,228,524
0,0,22.37384415,0,351,618
0,0,0,18,85,212
0,0,15.369524,0,607,283
0,0,0,0,601,342
0,0,5.710593224,0,499,30
0,0,8.735691071,0,255,124
0,0,0,0,700,162
0,0,18.13093376,0,1068,258
0,0,0,0,577,421
0,0,0,0,577,175
0,0,0,0,765,552
0,0,23.13218307,5,30,30
0,0,0,0,339,150
0,0,0,5,379,0
0,0,0,0,424,124
0,0,17.93200302,0,150,120
0,0,18.77467537,0,765,124
0,0,16.52781105,0,390,360
0,0,33.79714584,0,1358,865
0,0,0,14,162,153
0,0,25.26700211,0,362,510
0,0,0,10,537,295
0,0,0,5,725,404
0,0,20.21263313,0,726,240
0,0,29.66584969,0,170,150
0,0,0,0,721,242
0,0,3.814074755,10,162,30
0,0,15.84516716,0,0,108
0,0,41.25658417,0,134,124
0,0,0,5,67,67
0,0,0,0,120,731
0,0,12.77257824,0,60,30
0,0,0,0,513,376
0,0,40.4512558,0,1101,510
0,0,31.12871742,0,721,685
0,0,0,0,713,362
0,0,10.75958347,0,95,42
0,0,46.54419327,0,170,170
0,0,3.016961336,0,577,60
0,0,0,25,247,495
0,0,6.654425144,0,361,212
0,0,10.55538082,36,731,30
0,0,31.89284134,0,1400,834
0,0,0,0,366,85
0,0,12.22512245,0,553,134
0,0,22.81394196,0,150,285
0,0,0,11,228,201
0,0,0,0,371,60
0,0,10.55538082,0,240,60
0,0,28.22281456,25,331,30
0,0,43.18820572,0,391,376
0,0,26.61590195,0,630,190
0,0,0,0,674,120
0,0,12.26014709,0,379,108
0,0,0,15,67,400
0,0,0,0,631,362
0,0,1.909152389,0,474,0
0,0,0,7,256,30
0,0,19.47122002,0,655,430
0,0,0,0,402,0
0,0,1.350224495,25,30,30
0,0,0,0,323,270
0,0,0,0,955,247
0,0,0,0,391,60
0,0,17.84268188,0,591,323
0,0,0,0,524,218
0,0,0,0,124,30
0,0,0,0,636,162
0,0,12.77257824,0,323,67
0,0,0,5,484,450
0,0,0,5,330,30
0,0,14.30291462,0,256,240
0,0,0,10,153,212
0,0,0,0,466,532
0,0,37.99705124,0,256,242
0,0,0,10,67,60
0,0,33.59059906,0,531,509
0,0,0,0,408,212
0,0,0,0,693,342
0,0,0,0,408,180
0,0,2.8624053,20,323,283
0,0,0,0,513,446
0,0,14.95924664,0,828,120
0,0,23.62842369,0,1182,604
0,0,0,0,661,85
0,0,8.104435921,0,371,150
6,1,0,0,618,300
6,1,0,0,598,180
6,1,25,0,371,582
2,1,20,26,228,470
8,1,1,0,618,180
6,1,6,0,450,180
6,1,21,0,295,258
11,1,0,0,778,499
8,1,0,0,450,240
11,1,10,0,531,150
14,1,0,0,484,421
6,1,16,0,0,30
9,1,5,5,604,108
5,1,10,0,618,212
6,1,0,0,792,95
6,1,10,0,295,60
6,1,11,0,726,212
10,1,46,0,85,85
6,1,11,0,330,741
6,1,0,0,446,60
1,1,0,0,570,210
6,1,12,0,212,42
6,1,1,0,661,30
6,1,0,0,395,247
6,1,0,0,443,400
3,1,5,18,108,693
6,1,0,0,577,390
1,1,3,0,150,655
6,1,6,0,433,95
4,1,0,0,571,108
10,1,0,0,474,67
7,1,0,0,560,153
1,1,7,0,124,598
9,1,0,5,466,384
3,1,12,0,764,90
11,1,1,7,663,30
6,1,8,0,361,201
1,1,9,0,778,201
6,1,5,0,484,67
4,1,0,18,488,420
3,1,0,0,636,85
12,1,11,0,60,60
6,1,15,0,330,150
6,1,0,0,242,350
6,1,0,0,582,108
6,1,19,0,365,671
6,1,9,0,924,108
1,1,0,0,633,150
4,1,0,0,474,404
4,1,0,0,700,497
1,1,0,5,573,95
6,1,17,0,0,150
6,1,0,0,466,228
6,1,0,0,242,85
5,1,9,0,390,42
6,1,0,0,120,42
6,1,0,0,450,67
1,1,0,18,525,350
6,1,1,7,430,67
4,1,3,5,342,60
2,1,0,0,503,426
9,1,0,0,376,175
5,1,0,5,361,30
6,1,0,7,631,30
6,1,0,0,750,323
5,1,7,0,330,242
6,1,14,0,153,67
9,1,0,0,702,85
5,1,9,0,659,162
2,1,43,0,127,150
6,1,0,0,330,313
6,1,11,0,247,30
14,1,0,0,60,60
1,1,2,0,424,90
3,1,10,0,859,175
1,1,13,15,671,95
6,1,2,5,330,150
7,1,22,0,335,564
1,1,25,0,42,30
6,1,0,0,362,134
6,1,20,0,418,324
6,1,6,0,1158,319
5,1,14,0,335,283
6,1,0,0,618,42
4,1,0,5,503,360
6,1,8,0,591,162
2,1,0,18,600,162
2,1,11,21,42,124
3,1,0,0,421,391
4,1,7,0,379,162
2,1,2,0,90,300
6,1,0,5,192,150
10,1,9,10,60,67
12,1,0,0,509,30
7,1,1,0,426,120
2,1,1,14,256,150
11,1,7,0,450,90
9,1,0,0,541,150
6,1,3,0,433,60
3,1,0,0,725,67
3,1,17,0,524,234
5,1,0,0,454,60
3,1,20,0,0,30
6,1,0,11,969,120
6,1,10,0,708,216
6,1,0,0,607,180
3,1,19,0,60,30
6,1,15,0,960,162
10,1,0,0,752,484
12,1,0,0,552,67
2,1,16,0,247,212
10,1,10,0,480,67
5,1,12,0,430,42
3,1,19,0,150,120
4,1,9,0,277,0
2,1,4,0,679,30
6,1,2,0,1114,258
6,1,30,0,376,514
1,1,0,0,691,108
1,1,0,11,595,150
1,1,0,0,268,300
6,1,0,0,484,67
3,1,12,0,256,201
6,1,10,0,234,108
14,1,0,0,511,30
3,1,0,0,648,0
6,1,9,0,481,162
6,1,3,18,216,234
5,1,0,0,671,573
12,1,1,0,566,90
4,1,0,0,408,400
12,1,11,0,571,150
12,1,1,0,324,170
2,1,18,0,127,108
14,1,26,0,30,0
8,1,12,0,313,30
3,1,0,0,134,256
6,1,0,0,330,306
1,1,13,0,566,90
13,1,4,0,362,300
3,1,3,5,443,30
6,1,0,0,571,210
3,1,0,5,752,85
1,1,0,7,212,120
2,1,13,0,553,67
8,1,46,0,134,127
6,1,0,0,511,162
9,1,45,5,85,85
10,1,11,0,124,571
4,1,0,5,488,495
6,1,0,0,591,190
6,1,5,10,120,646
3,1,0,0,437,541
7,1,0,0,598,120
6,1,0,5,390,30
8,1,0,10,497,216
11,1,0,0,649,470
5,1,0,0,541,376
6,1,0,0,566,30
6,1,6,0,272,170
6,1,13,0,180,0
6,1,15,0,870,150
7,1,0,0,752,404
5,1,14,0,270,693
3,1,0,0,666,175
12,1,0,0,543,454
5,1,0,0,390,365
6,1,47,0,108,108
10,1,0,0,541,95
1,1,11,0,150,726
2,1,10,0,192,150
7,1,0,0,693,67
9,1,0,0,30,30
6,1,0,0,598,524
6,1,0,10,474,67
6,1,0,0,979,127
12,1,0,0,541,240
12,1,3,0,618,60
3,1,21,0,362,323
10,1,41,7,42,42
12,1,1,5,379,95
6,1,0,0,592,402
5,1,0,18,162,247
8,1,8,0,454,240
6,1,0,0,603,67
6,1,15,0,934,162
2,1,0,7,124,285
4,1,3,0,120,300
4,1,12,0,376,391
6,1,0,5,725,404
2,1,17,0,402,390
2,1,15,0,335,0
2,1,17,0,849,150
12,1,9,0,350,384
2,1,0,0,745,190
3,1,8,0,351,713
4,1,0,5,300,95
2,1,1,18,301,182
5,1,2,0,607,108
6,1,8,18,361,30
7,1,0,0,480,446
5,1,0,0,655,124
6,1,0,0,547,418
2,1,19,0,283,242
4,1,13,0,828,120
5,1,0,0,418,371
7,1,7,0,420,242
5,1,0,0,255,182
4,1,9,0,466,30
3,1,11,0,658,153
7,1,0,0,840,390
1,1,0,0,470,134
9,1,1,0,400,85
13,1,10,0,644,124
4,1,8,0,365,175
6,1,10,0,513,0
5,1,0,0,721,42
6,1,0,0,711,499
3,1,0,0,684,30
2,1,0,0,780,42
6,1,11,0,990,170
8,1,1,0,350,124
8,1,5,0,120,390
1,1,10,0,408,268
7,1,13,0,150,30
6,1,0,0,335,60
9,1,0,0,1068,242
1,1,10,0,277,162
6,1,11,0,216,85
5,1,17,0,540,127
6,1,0,0,469,30
5,1,3,5,1034,192
2,1,0,11,573,451
2,1,10,0,497,190
2,1,0,0,408,255
3,1,0,0,953,95
